id,name
1,Liechtenstein
2,Tunisia
3,Honduras
4,Faeroe Islands
5,Afghanistan
6,Slovakia
7,Indonesia
8,Lebanon
9,Costa Rica
10,Azerbaijan
11,Paraguay
12,Guatemala
13,Luxembourg
14,Cyprus
15,Japan
16,Croatia
17,Saudi Arabia
18,Uruguay
19,Ghana
20,Belgium
21,Cote D'Ivoire
22,Jordan
23,Morocco
24,United States of America
25,Venezuela
26,Namibia
27,France
28,Serbia
29,United Kingdom
30,Pakistan
31,Albania
32,Brunei Darussalam
33,Slovenia
34,Cameroon
35,Botswana
36,Canada
37,Norway
38,Macao
39,Burkina Faso
40,Egypt
41,Spain
42,Netherlands Antilles
43,Argentina
44,Ukraine
45,China
46,Netherlands
47,Yugoslavia
48,Iran
49,Jamaica
50,Thailand
51,Kenya
52,Bosnia and Herzegovina
53,Chile
54,Macedonia
55,Peru
56,South Africa
57,Germany
58,Singapore
59,Myanmar
60,Latvia
61,Mongolia
62,Sri Lanka
63,Switzerland
64,Italy
65,Kuwait
66,Angola
67,Palau
68,Bahamas
69,Colombia
70,Philippines
71,Zimbabwe
72,Dominican Republic
73,Greece
74,Ireland
75,Portugal
76,Congo
77,Rwanda
78,Australia
79,Turks and Caicos Islands
80,Romania
81,Poland
82,India
83,Israel
84,East Germany
85,Puerto Rico
86,Lithuania
87,Mexico
88,Austria
89,Libyan Arab Jamahiriya
90,Solomon Islands
91,Vanuatu
92,Czechoslovakia
93,Qatar
94,Guadaloupe
95,Nicaragua
96,Vietnam
97,Zambia
98,Liberia
99,Algeria
100,Kazakhstan
101,Turkey
102,Czech Republic
103,Estonia
104,Aruba
105,Nigeria
106,Iceland
107,Belarus
108,Panama
109,Georgia
110,Nepal
111,Cambodia
112,Ecuador
113,New Zealand
114,Iraq
115,United Arab Emirates
116,Mali
117,Malawi
118,Monaco
119,Bolivia
120,Uganda
121,Hungary
122,Malaysia
123,Bhutan
124,Montenegro
125,Syrian Arab Republic
126,Brazil
127,French Polynesia
128,Palestinian Territory
129,Bulgaria
130,Mauritius
131,Cuba
132,South Korea
133,Finland
134,Senegal
135,Cayman Islands
136,Tanzania
137,Ethiopia
138,Serbia and Montenegro
139,New Caledonia
140,Hong Kong
141,Russia
142,Taiwan
143,Denmark
144,Malta
145,Sweden
146,Soviet Union
