id,name
1,Breton
2,Український
3,ελληνικά
4,日本語
5,Estonian
6,Galego
7,Letzeburgesch
8,Greek
9,French
10,Bislama
11,Indonesian
12,Khmer
13,Fulah
14,Inupiaq
15,Bahasa melayu
16,ქართული
17,Hungarian
18,English
19,普通话
20,Occitan
21,हिन्दी
22,Zulu
23,Raeto-Romance
24,Slovak
25,Macedonian
26,Kashmiri
27,Croatian
28,Catalan
29,Sinhalese
30,Tahitian
31,Marathi
32,Bashkir
33,Moldavian
34,Maltese
35,Guarani
36,Cantonese
37,Mongolian
38,Russian
39,Esperanto
40,Serbian
41,Afrikaans
42,Sardinian
43,Italiano
44,Español
45,Tswana
46,Northern Sami
47,Igbo
48,Français
49,Persian
50,Nederlands
51,Danish
52,Swedish
53,Telugu
54,Dzongkha
55,Galician
56,Gaeilge
57,Gujarati
58,Swahili
59,Polish
60,Wolof
61,Cree
62,Avaric
63,Deutsch
64,Tibetan
65,العربية
66,svenska
67,Pushto
68,广州话 / 廣州話
69,Chichewa; Nyanja
70,Polski
71,Slovenian
72,Chechen
73,Czech
74,Tamil
75,Kiswahili
76,Kurdish
77,Tiếng Việt
78,Tagalog
79,Dutch
80,Mandarin
81,Somali
82,Aragonese
83,Cornish
84,Corsican
85,Pусский
86,Norwegian
87,No Language
88,Bulgarian
89,Irish
90,Sanskrit
91,Serbo-Croatian
92,Akan
93,Haitian; Haitian Creole
94,Hebrew
95,Georgian
96,ਪੰਜਾਬੀ
97,Lao
98,shqip
99,Punjabi
100,Arabic
101,Català
102,Ukrainian
103,Yiddish
104,Basque
105,Japanese
106,فارسی
107,Welsh
108,Romanian
109,Kannada
110,Uzbek
111,Cymraeg
112,اردو
113,Xhosa
114,Română
115,Italian
116,Latvian
117,Azerbaijani
118,ภาษาไทย
119,Nepali
120,Türkçe
121,Navajo
122,Inuktitut
123,Malayalam
124,Lietuvių
125,Korean
126,Belarusian
127,Norsk
128,Bengali
129,Tatar
130,Abkhazian
131,Hindi
132,Malay
133,Český
134,German
135,Icelandic
136,Burmese
137,Amharic
138,isiZulu
139,தமிழ்
140,Portuguese
141,עִבְרִית
142,Slovenčina
143,suomi
144,Kazakh
145,Íslenska
146,Finnish
147,Quechua
148,Bosnian
149,Lithuanian
150,Spanish
151,Ewe
152,Latin
153,Gaelic
154,Maori
155,Dansk
156,Bahasa indonesia
157,Vietnamese
158,Turkish
159,Sotho
160,Albanian
161,Kinyarwanda
162,Armenian
163,Srpski
164,Português
165,Thai
166,Samoan
167,Ido
168,한국어/조선말
169,Ganda
170,Urdu
171,Bambara
172,Lingala
173,Javanese
174,Magyar
175,Afar
176,Chuvash
177,Hausa
